Sourcefile	20160324 171729 Dosing_12CO_13CO.qmp
Exporttime	3/24/2016 06:00:12.921 PM

Start Time	3/24/2016 05:23:31.820 PM
End Time	3/24/2016 06:00:06.853 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/24/2016 5:24:10 PM	38.783	6.074944e-013	3/24/2016 5:24:10 PM	39.005	2.583528e-013	3/24/2016 5:24:11 PM	39.220	2.740455e-013	3/24/2016 5:24:11 PM	39.449	1.270761e-012	3/24/2016 5:24:11 PM	39.663	3.314872e-012	3/24/2016 5:24:11 PM	39.884	6.996025e-013	3/24/2016 5:24:11 PM	40.103	9.113965e-013
3/24/2016 5:24:12 PM	40.327	5.637933e-013	3/24/2016 5:24:12 PM	40.547	2.674177e-013	3/24/2016 5:24:12 PM	40.767	2.483005e-013	3/24/2016 5:24:12 PM	40.987	1.245126e-012	3/24/2016 5:24:13 PM	41.202	3.356608e-012	3/24/2016 5:24:13 PM	41.428	6.126201e-013	3/24/2016 5:24:13 PM	41.647	9.028857e-013
3/24/2016 5:24:13 PM	41.877	7.561451e-013	3/24/2016 5:24:13 PM	42.092	2.469617e-013	3/24/2016 5:24:14 PM	42.312	2.356966e-013	3/24/2016 5:24:14 PM	42.528	1.151200e-012	3/24/2016 5:24:14 PM	42.743	3.336370e-012	3/24/2016 5:24:14 PM	42.963	5.938550e-013	3/24/2016 5:24:15 PM	43.191	1.036931e-012
3/24/2016 5:24:15 PM	43.412	6.437348e-013	3/24/2016 5:24:15 PM	43.628	2.487760e-013	3/24/2016 5:24:15 PM	43.843	2.639211e-013	3/24/2016 5:24:15 PM	44.059	1.145597e-012	3/24/2016 5:24:16 PM	44.275	3.291296e-012	3/24/2016 5:24:16 PM	44.498	6.101871e-013	3/24/2016 5:24:16 PM	44.719	9.603872e-013
3/24/2016 5:24:16 PM	44.949	5.734223e-013	3/24/2016 5:24:16 PM	45.172	2.773004e-013	3/24/2016 5:24:17 PM	45.388	2.671221e-013	3/24/2016 5:24:17 PM	45.606	1.277357e-012	3/24/2016 5:24:17 PM	45.822	3.336344e-012	3/24/2016 5:24:17 PM	46.044	6.142452e-013	3/24/2016 5:24:18 PM	46.281	9.448892e-013
3/24/2016 5:24:18 PM	46.511	5.967936e-013	3/24/2016 5:24:18 PM	46.726	2.830855e-013	3/24/2016 5:24:18 PM	46.950	2.659762e-013	3/24/2016 5:24:18 PM	47.169	1.251815e-012	3/24/2016 5:24:19 PM	47.384	3.229023e-012	3/24/2016 5:24:19 PM	47.607	6.533221e-013	3/24/2016 5:24:19 PM	47.827	9.919252e-013
3/24/2016 5:24:19 PM	48.048	5.895742e-013	3/24/2016 5:24:20 PM	48.263	2.708844e-013	3/24/2016 5:24:20 PM	48.477	2.405788e-013	3/24/2016 5:24:20 PM	48.701	1.201233e-012	3/24/2016 5:24:20 PM	48.916	3.364605e-012	3/24/2016 5:24:20 PM	49.141	6.281784e-013	3/24/2016 5:24:21 PM	49.365	9.566544e-013
3/24/2016 5:24:21 PM	49.582	5.835422e-013	3/24/2016 5:24:21 PM	49.798	2.800033e-013	3/24/2016 5:24:21 PM	50.013	2.345552e-013	3/24/2016 5:24:22 PM	50.228	1.260567e-012	3/24/2016 5:24:22 PM	50.443	3.248571e-012	3/24/2016 5:24:22 PM	50.663	6.023834e-013	3/24/2016 5:24:22 PM	50.888	9.449983e-013
3/24/2016 5:24:22 PM	51.115	5.941956e-013	3/24/2016 5:24:23 PM	51.338	2.670534e-013	3/24/2016 5:24:23 PM	51.557	2.271460e-013	3/24/2016 5:24:23 PM	51.782	1.233060e-012	3/24/2016 5:24:23 PM	51.998	3.314598e-012	3/24/2016 5:24:24 PM	52.225	6.610876e-013	3/24/2016 5:24:24 PM	52.454	9.500311e-013
3/24/2016 5:24:24 PM	52.682	6.020141e-013	3/24/2016 5:24:24 PM	52.897	2.631770e-013	3/24/2016 5:24:24 PM	53.113	2.479920e-013	3/24/2016 5:24:25 PM	53.337	1.284332e-012	3/24/2016 5:24:25 PM	53.552	3.387901e-012	3/24/2016 5:24:25 PM	53.776	6.773624e-013	3/24/2016 5:24:25 PM	53.997	9.520647e-013
