temperature	12CO	13CO
11.172285	1.6973339303517205E12	6.209884536743156E11
11.144088	1.951662856587902E12	4.992446625546473E11
11.16435	1.9933152114269856E12	7.43673929237271E10
11.165562	2.586211296352369E12	4.522913712199723E11
11.149455	1.1694647722192478E12	7.13193914578037E11
11.19618	1.9209361877521758E12	3.312163462512807E11
11.148096903096903	1.044813937566347E12	6.445735704477014E10
11.176612612612614	1.4451015301904575E12	1.974585531621635E11
11.187805	1.3534932084136475E12	1.4573242636056177E11
11.150677	1.107871086311203E12	6.284577947092206E11
11.21452	1.205797777658808E12	4.820044415794827E11
11.168470529470529	8.49537626734497E11	1.1954914871404316E10
11.189304	1.0493922666414938E12	3.261556196300309E11
11.203667667667668	1.5457925978812634E12	4.03931573240053E11
11.17792	1.2199173924670112E12	1.3528395213161044E11
11.21724925224327	9.247393707037405E11	2.4480182408261618E11
11.20331995987964	-1.4699708974940073E11	3.7010786093400275E11
11.183462	5.957682814027651E11	1.855949841727114E11
11.21621	1.0879626013733567E12	2.3924752428000946E11
11.216998001998002	1.0769816495720298E12	3.1252930400050665E11
11.22418918918919	1.4408505807953674E12	2.2164618811041245E11
11.251037	1.5188956720419814E12	2.4194442854157175E11
11.21794	2.245276877865665E12	-2.292002176525E11
11.228936	5.286442961843603E11	3.510150384702709E11
11.256293706293706	1.176746796951942E12	1.681514432603099E11
11.231461461461462	8.286526534050189E11	1.6460932464908014E11
11.29475	1.3833930340702842E12	2.8902714012288074E11
11.247285999999999	1.6472213901784219E12	3.268944442862825E11
11.244299999999999	6.586889034220144E11	4.9641255274623376E11
11.300595617529881	1.3122963582347415E12	7.977185639759128E10
11.245541832669323	2.0922823940127334E12	3.213997633382013E11
11.331429718875501	7.825248189121498E11	1.2230145611325728E11
11.285504999999999	2.1189945543946417E11	4.590746211732995E11
11.275366	1.342073597757686E12	3.4144621405258185E11
11.32274	1.0612863905587683E12	6.661456469095872E10
11.292958	1.049813787999523E12	4.4715990911273914E11
11.348225	1.2516548369200066E12	6.445904544238929E10
11.340364	2.4271781168433037E10	-2.515104210251114E10
11.31326	2.2259081284282297E11	3.920543648947987E10
11.34658	5.062524861048271E11	-3.1907046950344025E11
11.344505	9.511857233249589E11	-1.3834501099528534E11
11.360692	1.0476974385452588E12	5.776238038530574E10
11.39558	3.558676520806829E11	4.1591133582727155E11
11.349026	5.4669019668851196E11	2.2801469112224606E11
11.37106	1.0380511654383556E11	9.073854442450052E10
11.400722	1.208773680556523E11	4.3804514347447314E11
11.370800000000001	7.549400276793593E10	2.5438393115319104E11
11.460776000000001	8.610094697678972E9	3.088372485362369E11
11.387524475524476	1.665712993728861E11	6.677717468286863E10
11.395979979979979	6.945529500444116E11	-8.063486793365201E10
11.4622	6.749369229610321E11	1.2816684044978476E11
11.38604	-8.225692180983705E10	-2.772706104998964E11
11.50927	8.679890070200477E11	-9.586007667972476E10
11.442103	5.4306275125681104E11	2.2578397911754123E11
11.43328	4.945247378385938E11	-1.0635867984929216E11
11.492672	1.250901434164649E12	1.7636889294221634E11
11.446925	4.377197351772711E11	-1.723790447937768E10
11.52455	5.579171849180775E11	-2.6077603002619806E11
11.51063	1.9709315203271802E11	1.0150139060419379E11
11.478074	5.005057126034474E11	6.476002029789677E10
11.522730000000001	5.684999154019498E11	1.0612001951860405E11
11.513222	5.4790791516114435E11	-1.808271720970059E11
11.53584	6.412603569871205E11	1.9528599604977484E11
11.584448	6.825700709061394E11	4.447727582723214E10
11.522415	1.4880548022484348E12	-2.7752198479049896E11
11.551651	1.132584093663881E12	-3.7381121187936424E10
11.585774225774225	6.808315320651741E10	-4.026770446499544E10
11.547003003003004	7.866187415216642E11	1.7741513399544632E11
11.664639999999999	6.119332684580442E11	2.2388569698313596E11
11.570856000000001	-3.9228214695684906E10	-1.2363851603677219E11
11.58316	6.20009404228127E11	-2.770183724007117E11
11.662704000000002	-1.509596851588353E10	-2.329675994456301E11
11.559780000000002	1.2012473701333777E11	1.4265274051243258E9
11.719226000000003	6.047733891565673E11	-1.4747398535236874E11
11.629600000000002	-1.657723385027171E10	-2.97873448885657E11
11.627151999999999	-3.5041018345083875E11	3.522261244356704E10
11.695875	-4.3675214233671686E11	1.196840810181203E11
11.632121999999999	-4.0491555768234814E11	-1.908852590476247E11
11.728159999999999	-1.137174038215963E9	-2.6671563900991937E11
11.710263999999999	1.0921872822829243E12	-3.951433299672988E10
11.673775	-2.0266091424121085E11	1.949020068263445E11
11.729403999999999	1.9681910699565793E11	7.171029084270001E10
11.712219999999999	-4.98154831457505E11	3.101357384386984E11
11.735748	-4.100903046246206E11	8.810019766260982E10
11.79265	-3.091537858977959E11	4.943369853152302E10
11.7191998001998	4.693508199157054E11	1.6151626099801136E10
11.757433433433434	3.599683119932719E11	-1.3377946050788258E11
11.79124	1.2475072085337206E11	-4.072200687299214E10
11.736025	-9.966324191932574E10	1.670673702781621E11
