0000003225,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",3/29/2016,"Time",4:03:14 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
00:01:20,     80884,        600,        330,       1490,     206340,      37230,       5550,       3280,       2910,      12450,
00:01:21,     81948,        790,        480,       1700,     208180,      36890,       5440,       3480,       2640,      12550,
00:01:23,     83011,        690,        560,       1560,     208030,      36220,       5080,       3440,       2670,      12310,
00:01:24,     84074,        680,        350,       1550,     205630,      36080,       5340,       3640,       2750,      12300,
00:01:25,     85138,        660,        390,       1520,     205170,      34910,       4790,       3260,       2640,      12460,
00:01:26,     86201,        710,        410,       1830,     199450,      34220,       4870,       3290,       2600,      12380,
00:01:27,     87264,        550,        520,       1630,     199040,      36440,       5750,       3730,       2890,      12130,
00:01:28,     88328,        820,        360,       1670,     199910,      36380,       5010,       3090,       2680,      12190,
00:01:29,     89391,        490,        530,       1490,     201460,      35400,       5100,       3450,       2580,      12880,
00:01:30,     90454,        670,        500,       1720,     201000,      35910,       4890,       3320,       2840,      12240,
00:01:31,     91518,        750,        360,       1520,     198810,      34090,       5670,       3090,       2460,      11870,
00:01:32,     92581,        660,        340,       1610,     200180,      35490,       5070,       3270,       2650,      11730,
00:01:33,     93644,        650,        490,       1670,     196670,      34950,       5150,       3690,       2820,      13000,
00:01:34,     94708,        730,        390,       1480,     197420,      35450,       5010,       3260,       2670,      12020,
00:01:35,     95771,        740,        340,       2120,     196650,      35340,       5200,       2990,       3060,      11740,
00:01:36,     96834,        750,        470,       1660,     196790,      34210,       5820,       3510,       2520,      12460,
00:01:37,     97898,        580,        450,       1480,     194830,      35270,       5060,       3190,       2390,      12220,
00:01:38,     98961,        700,        440,       1770,     192920,      35010,       4860,       3300,       2440,      12130,
00:01:40,    100024,        700,        350,       1290,     193430,      34990,       4980,       2980,       2810,      11180,
00:01:41,    101088,        570,        410,       1580,     192660,      34440,       5520,       3280,       1740,      11750,
00:01:42,    102151,        830,        460,       1430,     192300,      34860,       4960,       3140,       2470,      11920,
00:01:43,    103214,        620,        460,       1590,     191510,      36350,       4710,       3100,       2590,      11660,
00:01:44,    104278,        700,        490,       1520,     190460,      33580,       5570,       3210,       2040,      11730,
00:01:45,    105341,        630,        430,       1420,     191390,      34570,       4650,       2870,       2340,      11730,
00:01:46,    106404,        720,        410,       1780,     189070,      32220,       4870,       3100,       2100,      11340,
00:01:47,    107468,        650,        460,       1720,     189180,      35430,       4730,       3070,       2460,      11990,
00:01:48,    108531,        510,        330,       1520,     188060,      33490,       4610,       3260,       2480,      12450,
00:01:49,    109594,        680,        460,       1340,     188440,      34320,       4890,       3320,       2250,      12340,
00:01:50,    110658,        700,        340,       1490,     186030,      35050,       5160,       3030,       2100,      11010,
00:01:51,    111721,        600,        320,       1390,     184620,      34120,       4670,       3390,       2440,      11720,
00:01:52,    112784,        500,        390,       1540,     185410,      33760,       5290,       2940,       2470,      11240,
00:01:53,    113848,        590,        370,       1500,     183700,      34380,       5140,       3270,       2340,      11600,
00:01:54,    114911,        630,        410,       1500,     180010,      33770,       5530,       3110,       2200,      11570,
00:01:55,    115974,        550,        410,       1480,     187450,      34520,       5560,       3150,       2290,      11690,
00:01:57,    117038,        800,        380,       1650,     179840,      32870,       4900,       3190,       2480,      11410,
00:01:58,    118101,        710,        400,       1580,     180580,      34390,       5170,       3410,       2400,      11260,
00:01:59,    119164,        610,        530,       1510,     183300,      35120,       4560,       3100,       2160,      12070,
00:02:00,    120228,        560,        320,       1580,     180200,      33120,       5350,       3480,       2040,      12490,
00:02:01,    121291,        640,        240,       1700,     179570,      33450,       4760,       3220,       2320,      11960,
00:02:02,    122354,        690,        530,       1610,     175730,      33710,       5100,       3070,       2190,      11410,
00:02:03,    123418,        740,        470,       1390,     180820,      36120,       4550,       3200,       2400,      11580,
00:02:04,    124481,        650,        470,       1200,     175530,      34520,       5060,       3250,       2020,      11870,
00:02:05,    125544,        580,        570,       1430,     177160,      34480,       5240,       3300,       2060,      10980,
00:02:06,    126608,        670,        360,       1660,     176230,      33110,       4800,       2720,       2180,      11500,
00:02:07,    127671,        830,        430,       1700,     177420,      33810,       4560,       2920,       2440,      11410,
00:02:08,    128734,        740,        440,       1370,     179810,      33510,       4840,       3000,       1870,      11600,
00:02:09,    129798,        870,        340,       1620,     178670,      32200,       5040,       2980,       2210,      11160,
00:02:10,    130861,        670,        300,       1650,     175140,      34740,       4710,       2960,       2270,      11890,
00:02:11,    131924,        690,        490,       1570,     177110,      33780,       4660,       2810,       2140,      10910,
00:02:12,    132988,        570,        310,       1410,     173320,      33790,       4370,       2960,       1830,      12110,
00:02:14,    134051,        550,        430,       1350,     177450,      35320,       4950,       2890,       2320,      10950,
